year,sidocode,guguncode,spot_nm,occrrnc_cnt,sido_sgg_nm,caslt_cnt,dth_dnv_cnt,se_dnv_cnt,sl_dnv_cnt,wnd_dnv_cnt,X,Y
2015,서울,강남구,서울특별시 강남구 논현동(청하빌딩 부근),5,서울특별시 강남구1,5,0,1,3,1,127.023858354581,37.507699584169
2015,서울,강남구,서울특별시 강남구 개포동(수서경찰서 부근),3,서울특별시 강남구2,3,0,1,2,0,127.076398597518,37.49249476792
2015,서울,강동구,서울특별시 강동구 성내동(산경빌딩 부근),7,서울특별시 강동구1,7,0,3,3,1,127.12770795366,37.537201293506
2015,서울,강동구,서울특별시 강동구 길동(마루빌딩 부근),3,서울특별시 강동구2,3,0,2,1,0,127.139970249329,37.537491034385
2015,서울,강북구,서울특별시 강북구 미아동(삼성생명 부근),9,서울특별시 강북구1,10,0,4,6,0,127.026476533766,37.625390073294
2015,서울,강북구,서울특별시 강북구 미아동(솔샘빌딩 부근),8,서울특별시 강북구2,8,0,5,3,0,127.029087443732,37.618947024387
2015,서울,강북구,서울특별시 강북구 수유동(북부안식일교회 부근),5,서울특별시 강북구3,5,1,1,3,0,127.01799915274,37.628681786236
2015,서울,강북구,서울특별시 강북구 수유동(우이초등교앞 부근),5,서울특별시 강북구4,7,0,1,6,0,127.016969939812,37.641051171375
2015,서울,강북구,서울특별시 강북구 미아동(목화빌라 부근),4,서울특별시 강북구5,5,1,3,1,0,127.024974508568,37.629575359816
2015,서울,강북구,서울특별시 강북구 번동(강북보건소 부근),4,서울특별시 강북구6,4,1,2,0,1,127.039057286566,37.632851018061
2015,서울,강북구,서울특별시 강북구 번동(강북유니온빌딩앞 부근),4,서울특별시 강북구7,4,0,4,0,0,127.042767463049,37.628291002928
2015,서울,강북구,서울특별시 강북구 미아동(유봉빌딩 부근),4,서울특별시 강북구8,4,0,3,1,0,127.03091966671,37.614087079956
2015,서울,강북구,서울특별시 강북구 미아동(금강빌딩 부근),4,서울특별시 강북구9,4,0,2,2,0,127.015456820577,37.619323877196
2015,서울,강북구,서울특별시 강북구 번동(용빌딩 부근),3,서울특별시 강북구10,3,0,3,0,0,127.034279285662,37.62624873789
2015,서울,강서구,서울특별시 강서구 화곡동(화곡사거리 부근),7,서울특별시 강서구1,7,0,3,3,1,126.846964603035,37.530627873479
2015,서울,강서구,서울특별시 강서구 등촌동(KBS88체육관 부근),5,서울특별시 강서구2,8,0,6,2,0,126.848570759834,37.557333569889
2015,서울,강서구,서울특별시 강서구 등촌동(가양5단지 부근),4,서울특별시 강서구3,4,1,3,0,0,126.851628899955,37.562915213967
2015,서울,강서구,서울특별시 강서구 화곡동(목동사거리 부근),4,서울특별시 강서구4,4,1,2,1,0,126.861863719936,37.532182295877
2015,서울,관악구,서울특별시 관악구 봉천동(현대시장입구 부근),5,서울특별시 관악구1,5,0,5,0,0,126.947615792036,37.482564321687
2015,서울,관악구,서울특별시 관악구 봉천동(관악프라자 부근),5,서울특별시 관악구2,5,0,3,2,0,126.954516374632,37.483712064361
2015,서울,관악구,서울특별시 관악구 신림동(뿌리약국 부근),4,서울특별시 관악구3,4,0,4,0,0,126.918879279856,37.473964851398
2015,서울,관악구,서울특별시 관악구 신림동(봉림교(남단) 부근),4,서울특별시 관악구4,6,0,2,4,0,126.924763422595,37.483492491286
2015,서울,관악구,서울특별시 관악구 봉천동(신우빌딩 부근),4,서울특별시 관악구5,4,0,2,2,0,126.940917506539,37.482975798395
2015,서울,관악구,서울특별시 관악구 신림동(관악구-동작구경계(7) 부근),4,서울특별시 관악구6,4,0,1,3,0,126.912925069138,37.48736854952
2015,서울,관악구,서울특별시 관악구 신림동(유완약국 부근),4,서울특별시 관악구7,4,0,1,3,0,126.930178958293,37.46684994507
2015,서울,관악구,서울특별시 관악구 봉천동(봉천고개 부근),3,서울특별시 관악구8,3,2,1,0,0,126.956750801409,37.490638703914
2015,서울,관악구,서울특별시 관악구 신림동(신림우방아파트 부근),3,서울특별시 관악구9,3,1,1,0,1,126.917526837994,37.489404973462
2015,서울,관악구,서울특별시 관악구 봉천동(보라매공원 부근),3,서울특별시 관악구10,3,0,2,1,0,126.926772892956,37.492314861243
2015,서울,광진구,서울특별시 광진구 중곡동(광제사약국 부근),5,서울특별시 광진구1,5,1,3,1,0,127.0818211866,37.56469263226
2015,서울,광진구,서울특별시 광진구 구의동(영화사입구삼거리 부근),4,서울특별시 광진구2,4,0,2,2,0,127.093204072111,37.555031922386
2015,서울,구로구,서울특별시 구로구 개봉동(배남준치과의원앞 부근),5,서울특별시 구로구1,5,1,2,1,1,126.856196794048,37.488215727075
2015,서울,구로구,서울특별시 구로구 구로동(구로초등교 부근),5,서울특별시 구로구2,8,0,5,3,0,126.882838870618,37.495132217779
2015,서울,구로구,서울특별시 구로구 개봉동(개봉역 부근),5,서울특별시 구로구3,5,0,3,2,0,126.857403759777,37.493536467935
2015,서울,구로구,서울특별시 구로구 가리봉동(햇살무리예능선교원 부근),5,서울특별시 구로구4,5,0,2,3,0,126.887031761807,37.482363487786
2015,서울,구로구,서울특별시 구로구 구로동(기업은행구로북지점 부근),4,서울특별시 구로구5,4,1,2,0,1,126.891101934208,37.496435746414
2015,서울,구로구,서울특별시 구로구 구로동(영서중 부근),4,서울특별시 구로구6,4,0,4,0,0,126.891353128345,37.489532992854
2015,서울,구로구,서울특별시 구로구 구로동(구로4동우체국 부근),4,서울특별시 구로구7,4,0,3,1,0,126.884193765831,37.490108240604
2015,서울,구로구,서울특별시 구로구 궁동(수궁동사무소입구삼거리 부근),4,서울특별시 구로구8,5,0,2,3,0,126.832614906254,37.493317876919
2015,서울,구로구,서울특별시 구로구 오류동(시티월드앞 부근),3,서울특별시 구로구9,4,0,2,2,0,126.840115654115,37.494296247575
2015,서울,구로구,서울특별시 구로구 오류동((주)유천인바이트 부근),3,서울특별시 구로구10,3,0,2,1,0,126.844795223322,37.493757004183
2015,서울,금천구,서울특별시 금천구 독산동(박재영과위원 부근),6,서울특별시 금천구1,6,0,5,1,0,126.902094831412,37.468281896893
2015,서울,금천구,서울특별시 금천구 시흥동(장혁빌딩 부근),4,서울특별시 금천구2,4,1,1,2,0,126.905386268263,37.457483800938
2015,서울,중랑구,서울특별시 노원구 하계동(노원소방서 부근),4,서울특별시 노원구1,4,1,2,1,0,127.072538433003,37.637975545736
2015,서울,중랑구,서울특별시 노원구 공릉동(안성민치과의원 부근),4,서울특별시 노원구2,4,0,3,1,0,127.076131601393,37.623477406858
2015,서울,중랑구,서울특별시 노원구 상계동(마들역 부근),3,서울특별시 노원구3,3,0,2,1,0,127.057248057053,37.664429403195
2015,서울,중랑구,서울특별시 노원구 상계동(상계9동사무소 부근),3,서울특별시 노원구4,3,0,2,1,0,127.064218563737,37.664689837867
2015,서울,도봉구,서울특별시 도봉구 도봉동(신도봉사거리 부근),5,서울특별시 도봉구1,7,2,4,1,0,127.044030719144,37.671344118637
2015,서울,도봉구,서울특별시 도봉구 창동(남대문약국 부근),4,서울특별시 도봉구2,5,0,4,1,0,127.037936252857,37.637587387549
2015,서울,도봉구,서울특별시 도봉구 쌍문동(도봉전화국 부근),4,서울특별시 도봉구3,4,0,2,2,0,127.035466478896,37.647977180503
2015,서울,도봉구,서울특별시 도봉구 도봉동(극동쌍용아파트 부근),3,서울특별시 도봉구4,3,0,1,2,0,127.027336705626,37.653255455376
2015,서울,동대문구,서울특별시 동대문구 제기동(우리은행청량리중앙지점 부근),13,서울특별시 동대문구1,13,0,7,6,0,127.041388808648,37.579064477545
2015,서울,동대문구,서울특별시 동대문구 청량리동(청량리역_홍릉길_진입_1 부근),8,서울특별시 동대문구2,8,0,6,2,0,127.044996686349,37.581368154817
2015,서울,동대문구,서울특별시 동대문구 제기동(용두교앞 부근),6,서울특별시 동대문구3,6,0,4,2,0,127.034618912834,37.578199929584
2015,서울,동대문구,서울특별시 동대문구 이문동(사슴약국 부근),5,서울특별시 동대문구4,5,0,3,2,0,127.062043454443,37.60082174343
2015,서울,동대문구,서울특별시 동대문구 전농동(전농동사거리_전농로_진입_2 부근),5,서울특별시 동대문구5,5,0,3,2,0,127.057600641657,37.577123614664
2015,서울,동대문구,서울특별시 동대문구 제기동(양지장여관 부근),4,서울특별시 동대문구6,4,1,3,0,0,127.037243798264,37.588216407662
2015,서울,동대문구,서울특별시 동대문구 휘경동(외대앞역지하차도(동측) 부근),4,서울특별시 동대문구7,4,1,2,1,0,127.064216111286,37.594818999898
2015,서울,동대문구,서울특별시 동대문구 답십리동(답십리사거리 부근),4,서울특별시 동대문구8,4,0,3,1,0,127.058052271296,37.572773786382
2015,서울,동대문구,서울특별시 동대문구 이문동(이문동우편취급소 부근),4,서울특별시 동대문구9,4,0,3,1,0,127.062034429746,37.604902115941
2015,서울,동대문구,서울특별시 동대문구 이문동(우영목욕탕 부근),3,서울특별시 동대문구10,3,0,3,0,0,127.058460586888,37.59355487326
2015,서울,동작구,서울특별시 동작구 대방동(상도3동주민센터 부근),7,서울특별시 동작구1,10,0,8,1,1,126.930685710978,37.50005749256
2015,서울,동작구,서울특별시 동작구 상도동(상도지구대 부근),6,서울특별시 동작구2,6,0,3,2,1,126.939538495106,37.504266192931
