"x","y","h3_address","neighbours","neighbours_centroids","caslt_cnt","dth_dnv_cnt","se_dnv_cnt","sl_dnv_cnt","wnd_dnv_cnt","caslt_cnt_1","dth_dnv_cnt_1","se_dnv_cnt_1","sl_dnv_cnt_1","wnd_dnv_cnt_1","caslt_cnt_2","dth_dnv_cnt_2","se_dnv_cnt_2","sl_dnv_cnt_2","wnd_dnv_cnt_2","caslt_cnt_3","dth_dnv_cnt_3","se_dnv_cnt_3","sl_dnv_cnt_3","wnd_dnv_cnt_3","caslt_cnt_4","dth_dnv_cnt_4","se_dnv_cnt_4","sl_dnv_cnt_4","wnd_dnv_cnt_4","caslt_cnt_5","dth_dnv_cnt_5","se_dnv_cnt_5","sl_dnv_cnt_5","wnd_dnv_cnt_5","caslt_cnt_6","dth_dnv_cnt_6","se_dnv_cnt_6","sl_dnv_cnt_6","wnd_dnv_cnt_6","bus_station_cnt","traffic_cnt","pleasure_cnt","seoul_police_cnt","park_cnt","crossroad_cnt","도로10이하_cnt","도로10_20_cnt","도로20_30_cnt","도로30이상_cnt","child_cnt","silver_cnt","crosswalk_cnt","t_caslt_cnt","t_dth_dnv_cnt","t_se_dnv_cnt","t_sl_dnv_cnt","t_wnd_dnv_cnt","EPDO","pred_EPDO","diff"
126.981850964,37.5833715842,"8930e1dab47ffff","['8930e1dab0bffff', '8930e1dab57ffff', '8930e1dab7bffff', '8930e1dab43ffff', '8930e1dab73ffff', '8930e1dab4fffff', '8930e1dab47ffff']","[(37.58613392049726, 126.98056894996715), (37.58504400349799, 126.97785847789272), (37.58157611862826, 126.98281448475116), (37.58222028248265, 126.9776261488104), (37.58439995701294, 126.98304705537903), (37.58048636109626, 126.98010405026433), (37.583310121493525, 126.98033648969088)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1.84042256450269,1.84042256450269
127.0376017248,37.6389957992,"8930e1c2287ffff","['8930e1c2287ffff', '8930e1c2297ffff', '8930e1c2283ffff', '8930e1c22bbffff', '8930e1c228fffff', '8930e1c204bffff', '8930e1c22b3ffff']","[(37.63901298097283, 127.03741299155716), (37.640748021075076, 127.03493178160237), (37.637922280051214, 127.03469657157012), (37.63727781975223, 127.03989418451545), (37.63618720048217, 127.03717767091597), (37.64183879982509, 127.03764833333348), (37.64010367807028, 127.04012963690806)]",5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,2,5,0,0,0,8,0,4,1,0,1,0,0,6,6.36498462011734,0.364984620117339
127.0877398688,37.6000752053,"8930e1c038fffff","['8930e1c0313ffff', '8930e1c038bffff', '8930e1c03bbffff', '8930e1c0387ffff', '8930e1c038fffff', '8930e1c0383ffff', '8930e1c0317ffff']","[(37.59689598894049, 127.08903919595633), (37.59863365049828, 127.08655856595132), (37.600811460391185, 127.0919952942851), (37.602549164494455, 127.08951446036158), (37.59972255743875, 127.0892768174902), (37.601460179741956, 127.08679607693674), (37.59798481408191, 127.09175754085798)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,2.78786276136065,2.78786276136065
127.0861628024,37.5489204062,"8930e1c1e43ffff","['8930e1c1e57ffff', '8930e1c1e43ffff', '8930e1c1e53ffff', '8930e1c1e5bffff', '8930e1c1e4fffff', '8930e1c1e4bffff', '8930e1c1e47ffff']","[(37.551676147473344, 127.08524015098106), (37.54885023645659, 127.08500289174711), (37.55058856401024, 127.08252413957206), (37.54776273088464, 127.08228701199694), (37.54711178802405, 127.08748162678008), (37.54602436423314, 127.08476565379917), (37.549937738137665, 127.08771899639422)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1.33711305193438,1.33711305193438
127.0526107641,37.4744102373,"8930e1c846fffff","['8930e1c846bffff', '8930e1c80d7ffff', '8930e1c8463ffff', '8930e1c846fffff', '8930e1c809bffff', '8930e1c8467ffff', '8930e1c80d3ffff']","[(37.47192197069472, 127.04972273346766), (37.47126919246524, 127.05490861317153), (37.47474612795315, 127.04995805987251), (37.47300772050178, 127.0524333450079), (37.47409346667509, 127.05514418083055), (37.47583195580521, 127.05266880258368), (37.47018352433596, 127.05219790852712)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,2.85486028824856,2.85486028824856
127.0310489521,37.5756256121,"8930e1c148bffff","['8930e1c1413ffff', '8930e1c14d7ffff', '8930e1c14c7ffff', '8930e1c148bffff', '8930e1c148fffff', '8930e1c149bffff', '8930e1c1483ffff']","[(37.57402976169332, 127.0320059582616), (37.5746767160558, 127.0268139899432), (37.572940852039835, 127.02929256490962), (37.57576570733122, 127.02952728984062), (37.57685469491422, 127.03224081464691), (37.57750153207081, 127.02704860448738), (37.57859060127673, 127.02976203583178)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,1,4,0,0,0,1,0,2,0,0,0,0,0,0,3.00485393148562,3.00485393148562
126.9366258557,37.5114663911,"8930e1d910bffff","['8930e1d910fffff', '8930e1d9157ffff', '8930e1d911bffff', '8930e1d9103ffff', '8930e1d910bffff', '8930e1d9173ffff', '8930e1d9147ffff']","[(37.5126943886929, 126.94050880186899), (37.51051774324979, 126.9350994185683), (37.513339595955934, 126.93532950031496), (37.51442799842632, 126.93803421053651), (37.511606067570696, 126.93780399812445), (37.50987241861687, 126.94027847940315), (37.508784175643214, 126.93757380633139)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,3.94364781859552,3.94364781859552
126.9291040847,37.5683550228,"8930e1d8433ffff","['8930e1d84abffff', '8930e1d8407ffff', '8930e1d84afffff', '8930e1d8423ffff', '8930e1d8437ffff', '8930e1d843bffff', '8930e1d8433ffff']","[(37.56997952637497, 126.92686194682315), (37.567157210801554, 126.92663206543551), (37.57106966344064, 126.92956841185276), (37.56651489245258, 126.93181483590054), (37.56933732552321, 126.93204495835963), (37.56542491479566, 126.92910840801346), (37.568247269786596, 126.9293383996244)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,12,2.90781320508869,-9.09218679491131
126.9166730985,37.5125570787,"8930e1d908fffff","['8930e1d9017ffff', '8930e1d9013ffff', '8930e1d908fffff', '8930e1d9083ffff', '8930e1d908bffff', '8930e1d90bbffff', '8930e1d9087ffff']","[(37.50963053723754, 126.91933526517825), (37.50854203452906, 126.91663199343239), (37.51136341792763, 126.91686120212353), (37.51309617807662, 126.91438712262217), (37.510274833933124, 126.91415802394756), (37.5124519988138, 126.91956460442083), (37.514184840249754, 126.91709043134223)]",9,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,11,5,0,0,2,3,0,0,0,4,1,4,2,0,1,0,0,6,6.06398673261144,0.0639867326114398
126.9197750757,37.6167460748,"8930e1da52fffff","['8930e1da52bffff', '8930e1da193ffff', '8930e1da527ffff', '8930e1da523ffff', '8930e1da197ffff', '8930e1d125bffff', '8930e1da52fffff']","[(37.61533004532519, 126.91746260020082), (37.61359890634917, 126.91994056943224), (37.61924433937575, 126.92040004740878), (37.61815270303256, 126.91769221851403), (37.614690383361996, 126.92264836120722), (37.61751315868026, 126.92287822087802), (37.61642160364398, 126.9201702981168)]",0,0,0,0,0,0,0,0,0,0,24,0,14,9,1,0,0,0,0,0,3,0,2,0,1,5,1,3,1,0,0,0,0,0,0,1,10,13,0,1,2,3,0,0,0,4,2,4,5,1,3,1,0,33,6.42257740921826,-26.5774225907817
