자치구,행정동,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,영업상태명,소재지면적,소재지전체주소,사업장명,데이터갱신일자,업태구분명,X,Y
강남구,논현동,유흥주점영업,07_23_02_P,3220000,3220000-102-2007-00010,2007-09-20,영업/정상,300.79,서울특별시 강남구 논현동 237-10 지하1층,웨이팅,2024-03-21 2:40,룸살롱,127.03457152604346,37.50911806358921
강남구,삼성동,유흥주점영업,07_23_02_P,3220000,3220000-102-2002-00015,2002-04-10,영업/정상,394.8,서울특별시 강남구 삼성동 142-19 지하1층,루루(LULU),2023-10-29 2:40,룸살롱,127.04900154260288,37.50669078232152
강남구,삼성동,유흥주점영업,07_23_02_P,3220000,3220000-102-2002-00014,2002-04-10,영업/정상,327.85,서울특별시 강남구 삼성동 142-19 지하2층,라라(LaLa),2023-10-29 2:40,룸살롱,127.04900154260288,37.50669078232152
강남구,청담동,유흥주점영업,07_23_02_P,3220000,3220000-102-2002-00013,2002-03-22,영업/정상,310.2,서울특별시 강남구 청담동 125-16 2층,베이직,2022-03-19 2:40,룸살롱,127.04910032554493,37.52514812825793
강남구,역삼동,유흥주점영업,07_23_02_P,3220000,3220000-102-2016-00009,2016-11-15,영업/정상,324.09,서울특별시 강남구 역삼동 735-11 지하1층,라디오,2022-04-14 2:40,룸살롱,127.03058859201796,37.498838672965704
강남구,삼성동,유흥주점영업,07_23_02_P,3220000,3220000-102-2016-00008,2016-10-11,영업/정상,823.19,서울특별시 강남구 삼성동 142-35,파티원(PARTYONE),2024-02-21 2:40,룸살롱,127.04777963018356,37.50574382496334
강남구,삼성동,유흥주점영업,07_23_02_P,3220000,3220000-102-2011-00016,2011-11-03,영업/정상,583.76,서울특별시 강남구 삼성동 143-35,어게인,2024-03-29 2:40,룸살롱,127.04997043233982,37.50644575873684
강남구,삼성동,유흥주점영업,07_23_02_P,3220000,3220000-102-2011-00015,2011-10-10,영업/정상,249.46,서울특별시 강남구 삼성동 143-27 지상3층,씨엔엔CNN3,2023-01-08 2:40,룸살롱,127.05149472443178,37.50708128443741
강남구,논현동,유흥주점영업,07_23_02_P,3220000,3220000-102-2001-22992,2001-01-19,영업/정상,278.69,서울특별시 강남구 논현동 84-0 송암빌딩,홈런볼,2023-09-16 2:40,비어(바)살롱,127.03192468124338,37.51671379948403
강남구,신사동,유흥주점영업,07_23_02_P,3220000,3220000-102-2015-00006,2015-12-02,영업/정상,286.58,서울특별시 강남구 신사동 652-14 지하1층,놀이터,2023-07-28 2:40,룸살롱,127.03523728406087,37.523337295096226
강남구,논현동,유흥주점영업,07_23_02_P,3220000,3220000-102-2015-00004,2015-08-03,영업/정상,173.24,서울특별시 강남구 논현동 115-12번지 지하1층,랩(LAB),2020-05-27 2:40,룸살롱,127.0328013281079,37.51603013087003
강남구,역삼동,유흥주점영업,07_23_02_P,3220000,3220000-102-2015-00003,2015-07-31,영업/정상,817.77,서울특별시 강남구 역삼동 819-9,Alvin Avenue(엘빈 에비뉴),2023-01-20 2:40,기타,127.02562461857447,37.499042018317354
강남구,역삼동,유흥주점영업,07_23_02_P,3220000,3220000-102-2016-00006,2016-09-01,영업/정상,502.65,서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티,더,2023-03-24 2:40,룸살롱,127.03993477330594,37.50341816228845
강남구,역삼동,유흥주점영업,07_23_02_P,3220000,3220000-102-2016-00005,2016-04-06,영업/정상,359.96,서울특별시 강남구 역삼동 824-8,쿨타임,2022-07-30 2:40,룸살롱,127.02762537644227,37.497679264311124
강남구,삼성동,유흥주점영업,07_23_02_P,3220000,3220000-102-2016-00001,2016-01-12,영업/정상,188.64,서울특별시 강남구 삼성동 142-23 지하1층,자전거,2023-11-12 2:40,룸살롱,127.04920766152517,37.50640379316144
