x,y,h3_address,neighbours,neighbours_centroids,caslt_cnt,dth_dnv_cnt,se_dnv_cnt,sl_dnv_cnt,wnd_dnv_cnt,caslt_cnt_1,dth_dnv_cnt_1,se_dnv_cnt_1,sl_dnv_cnt_1,wnd_dnv_cnt_1,caslt_cnt_2,dth_dnv_cnt_2,se_dnv_cnt_2,sl_dnv_cnt_2,wnd_dnv_cnt_2,caslt_cnt_3,dth_dnv_cnt_3,se_dnv_cnt_3,sl_dnv_cnt_3,wnd_dnv_cnt_3,caslt_cnt_4,dth_dnv_cnt_4,se_dnv_cnt_4,sl_dnv_cnt_4,wnd_dnv_cnt_4,caslt_cnt_5,dth_dnv_cnt_5,se_dnv_cnt_5,sl_dnv_cnt_5,wnd_dnv_cnt_5,caslt_cnt_6,dth_dnv_cnt_6,se_dnv_cnt_6,sl_dnv_cnt_6,wnd_dnv_cnt_6,bus_station_cnt,traffic_cnt,pleasure_cnt,seoul_police_cnt,park_cnt,crossroad_cnt,도로10이하_cnt,도로10_20_cnt,도로20_30_cnt,도로30이상_cnt,child_cnt,silver_cnt,crosswalk_cnt,prediction
126.9876277952,37.5705313655,8930e1d8c23ffff,"['8930e1d8c23ffff', '8930e1d8c37ffff', '8930e1d8c2bffff', '8930e1d8c2fffff', '8930e1d8c33ffff', '8930e1d8c27ffff', '8930e1d8c3bffff']","[(37.56963623082069, 126.98707217591237), (37.57246003200137, 126.98730490460785), (37.56681246831171, 126.9868394680874), (37.56790174738499, 126.98954978972945), (37.57137059343235, 126.98459454533723), (37.570725587891545, 126.98978262874023), (37.56854687025024, 126.98436194782016)]",9,0,3,6,0,21,0,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,24,20,3,0,0,0,0,0,7,41,56,1,1,3,4,0,0,0,0,2,23,1.0
126.9255864378,37.4874853249,8930e1d9223ffff,"['8930e1d923bffff', '8930e1d922bffff', '8930e1d9227ffff', '8930e1d9223ffff', '8930e1d922fffff', '8930e1d9233ffff', '8930e1d9237ffff']","[(37.48641472517564, 126.92267700236116), (37.484681208545496, 126.92515024617488), (37.48859030140395, 126.92808276476161), (37.487502514844195, 126.9253797715682), (37.48576891690552, 126.92785310886201), (37.48923599231011, 126.92290641780548), (37.490323860179366, 126.92560931751142)]",0,0,0,0,0,6,0,2,4,0,9,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,10,0,0,0,2,0,0,0.699520699186006
127.0370464171,37.5811629356,8930e1c14b7ffff,"['8930e1c14b7ffff', '8930e1c14a7ffff', '8930e1c14b3ffff', '8930e1c337bffff', '8930e1c334fffff', '8930e1c336bffff', '8930e1c14a3ffff']","[(37.581857786654226, 127.0379036795012), (37.580121635374745, 127.04038273867718), (37.58076872858184, 127.03518957332288), (37.58468295298695, 127.03813884105374), (37.583593817004534, 127.03542460335606), (37.582946840988605, 127.04061801065568), (37.57903265894939, 127.0376685390494)]",10,0,8,2,0,77,0,45,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,1,0,60,3,40,15,2,4,31,2,0,0,4,8,0,0,0,5,1,22,0.6095952383846803
127.0231093501,37.6365900295,8930e1c267bffff,"['8930e1c267bffff', '8930e1c35b7ffff', '8930e1c2647ffff', '8930e1c264fffff', '8930e1c2673ffff', '8930e1c266bffff', '8930e1c2663ffff']","[(37.636384868048246, 127.0240678282), (37.6335594383919, 127.0238331449441), (37.638119460528124, 127.0215869758248), (37.63529407035215, 127.02135240315073), (37.63921033607518, 127.02430253253083), (37.63465015447572, 127.02654866363397), (37.63747566198206, 127.02678347855398)]",4,0,0,4,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,23,0,12,11,0,7,32,57,0,0,4,3,2,0,0,1,0,15,0.6095737165755267
127.0185578324,37.6347809528,8930e1c264bffff,"['8930e1c2643ffff', '8930e1c35b3ffff', '8930e1c3597ffff', '8930e1c265bffff', '8930e1c264bffff', '8930e1c264fffff', '8930e1c3587ffff']","[(37.637028581226836, 127.01887164442765), (37.63246871855116, 127.02111785153896), (37.633112463726796, 127.01592222890288), (37.635937698184726, 127.01615653832346), (37.63420326890718, 127.0186372033903), (37.63529407035215, 127.02135240315073), (37.631377994966904, 127.01840278340265)]",13,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,28,0,0,4,5,0,0,0,4,1,20,0.5666641870204558
126.9933205947,37.5712595423,8930e1d8d53ffff,"['8930e1d8d57ffff', '8930e1d8d43ffff', '8930e1d8dcbffff', '8930e1d8d5bffff', '8930e1d8d53ffff', '8930e1d8c27ffff', '8930e1d8dcfffff']","[(37.572904291481116, 126.99520420866627), (37.570080294995336, 126.99497110722413), (37.5735494670655, 126.99001548863409), (37.56899102295065, 126.99226033610307), (37.571814941449475, 126.9924933063196), (37.570725587891545, 126.98978262874023), (37.57463889861132, 126.99272629743173)]",0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,24,20,3,0,0,0,0,0,2,22,30,1,1,3,7,0,1,0,0,3,9,0.5152609521471252
126.9908626951,37.5720556471,8930e1d8d53ffff,"['8930e1d8d57ffff', '8930e1d8d43ffff', '8930e1d8dcbffff', '8930e1d8d5bffff', '8930e1d8d53ffff', '8930e1d8c27ffff', '8930e1d8dcfffff']","[(37.572904291481116, 126.99520420866627), (37.570080294995336, 126.99497110722413), (37.5735494670655, 126.99001548863409), (37.56899102295065, 126.99226033610307), (37.571814941449475, 126.9924933063196), (37.570725587891545, 126.98978262874023), (37.57463889861132, 126.99272629743173)]",0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,24,20,3,0,0,0,0,0,2,22,30,1,1,3,7,0,1,0,0,3,9,0.5152609521471252
127.0582356903,37.6079257514,8930e1c06b7ffff,"['8930e1c044fffff', '8930e1c06b7ffff', '8930e1c06b3ffff', '8930e1c046bffff', '8930e1c06a7ffff', '8930e1c06a3ffff', '8930e1c047bffff']","[(37.610998205303005, 127.05608124350236), (37.609261878417726, 127.05856174732162), (37.60817230177907, 127.05584514410052), (37.6103514511866, 127.06127857576917), (37.607525430485964, 127.06104223407432), (37.606435935557634, 127.0583255373814), (37.61208785978322, 127.05879797847071)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,4,11,0,0,0,3,1,9,0.44356115435324867
127.0201885281,37.6401258452,8930e1c2657ffff,"['8930e1c2643ffff', '8930e1c26cfffff', '8930e1c2657ffff', '8930e1c260bffff', '8930e1c2653ffff', '8930e1c2647ffff', '8930e1c261bffff']","[(37.637028581226836, 127.01887164442765), (37.64158828219953, 127.0166252202873), (37.63985393191275, 127.01910610651755), (37.64094488906595, 127.02182156956407), (37.63876297101334, 127.01639086878399), (37.638119460528124, 127.0215869758248), (37.64267932095183, 127.01934058966282)]",0,0,0,0,0,7,0,1,6,0,0,0,0,0,0,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,47,0,0,1,8,0,0,0,4,2,1,0.3986021354652873
127.0193382748,37.6356121273,8930e1c2643ffff,"['8930e1c2643ffff', '8930e1c2657ffff', '8930e1c2653ffff', '8930e1c265bffff', '8930e1c264bffff', '8930e1c2647ffff', '8930e1c264fffff']","[(37.637028581226836, 127.01887164442765), (37.63985393191275, 127.01910610651755), (37.63876297101334, 127.01639086878399), (37.635937698184726, 127.01615653832346), (37.63420326890718, 127.0186372033903), (37.638119460528124, 127.0215869758248), (37.63529407035215, 127.02135240315073)]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,4,0,0,0,0,0,0,0,0,0,0,0,1,7,56,0,0,1,6,0,0,0,2,2,2,0.3797907051834532
