경도,위도,주소,도로종류,도로기능,도로규모,도로폭
126.9704,37.57389,서울특별시 종로구 내수동 사직로8길,,,,
126.9812,37.58837,서울특별시 종로구 삼청동 삼청로11길,,,,
126.9635,37.59696,서울특별시 종로구 부암동 145-2,,,,
126.9681,37.61569,서울특별시 종로구 평창동 6-388,,,,
126.9586,37.57711,서울특별시 종로구 무악동 통일로18길,,,,
126.9641,37.57107,서울특별시 종로구 홍파동 송월길,,,,
126.9865,37.58251,서울특별시 종로구 계동 계동길,,,,
126.9899,37.57519,서울특별시 종로구 익선동 돈화문로11가길,,,,
127.0044,37.57286,서울특별시 종로구 효제동 155-2,,,,
127.003,37.57972,서울특별시 종로구 동숭동 162,,,,
127.0138,37.57237,서울특별시 종로구 창신동 종로,,,,
127.0102,37.57603,서울특별시 종로구 창신동 창신길,,,,
127.0132,37.57895,서울특별시 종로구 창신동 지봉로13길,,,,
127.0169,37.57718,서울특별시 종로구 숭인동 57-18,,,,
127.0203,37.57449,서울특별시 종로구 숭인동 종로,,,,
126.9699,37.58441,서울특별시 종로구 신교동 자하문로,,,,
126.9974,37.58747,서울특별시 종로구 명륜1가 성균관로,,,,
126.9744,37.56426,서울특별시 중구 서소문동 덕수궁길,,,,
126.9771,37.55694,서울특별시 중구 남창동 소월로1길,,,,
126.9843,37.56395,서울특별시 중구 명동1가 명동길,,,,
126.9938,37.55687,서울특별시 중구 필동2가 퇴계로34길,,,,
127.0022,37.55556,서울특별시 중구 장충동2가 장충단로,,,,
127.0038,37.56516,서울특별시 중구 광희동1가 동호로34길,,,,
126.9966,37.56662,서울특별시 중구 을지로4가 을지로,,,,
127.0219,37.56363,서울특별시 중구 신당동 160,,,,
127.0208,37.56854,서울특별시 중구 황학동 마장로13길,,,,
126.966,37.55735,서울특별시 중구 중림동 중림로8길,,,,
127.0137,37.56569,서울특별시 중구 신당동 퇴계로,,,,
127.0084,37.55494,서울특별시 중구 신당동 동호로15길,,,,
127.0103,37.55015,서울특별시 중구 신당동 다산로,,,,
127.0152,37.55688,서울특별시 중구 신당동 다산로22길,,,,
127.0187,37.56071,서울특별시 중구 신당동 44-44,,,,
126.9806,37.54991,서울특별시 용산구 후암동 335-41,,,,
126.9851,37.53791,서울특별시 용산구 용산동2가 이태원로,,,,
126.9748,37.54403,서울특별시 용산구 용산동1가 이태원로,,,,
126.9525,37.53385,서울특별시 용산구 원효로4가 효창원로8길,,,,
126.9609,37.54281,서울특별시 용산구 효창동 255-11,,,,
126.9585,37.53798,서울특별시 용산구 용문동 효창원로37라길,,,,
126.9718,37.51517,서울특별시 용산구 이촌동 367,,,,
126.9542,37.52286,서울특별시 용산구 이촌동 312-1,,,,
126.9932,37.53336,서울특별시 용산구 이태원동 이태원로26길,,,,
126.9921,37.54176,서울특별시 용산구 이태원동 소월로40길,,,,
126.9889,37.51963,서울특별시 용산구 서빙고동 서빙고로62길,,,,
127.0009,37.52689,서울특별시 용산구 보광동 보광로14길,,,,
126.9668,37.54758,서울특별시 용산구 청파동1가 효창원로86라길,,,,
126.9666,37.5375,서울특별시 용산구 신계동 1-275,,,,
126.9686,37.52913,서울특별시 용산구 한강로2가 한강대로,,,,
127.0052,37.53753,서울특별시 용산구 한남동 한남대로,,,,
127.0277,37.56145,서울특별시 성동구 하왕십리동 무학봉길,,,,
127.0406,37.56742,서울특별시 성동구 마장동 마장로39길,,,,
127.0454,37.55812,서울특별시 성동구 사근동 왕십리로,,,,
127.0362,37.55909,서울특별시 성동구 행당동 왕십리로,,,,
127.0297,37.55667,서울특별시 성동구 행당동 행당로6길,,,,
127.0337,37.55088,서울특별시 성동구 응봉동 독서당로62길,,,,
127.025,37.55359,서울특별시 성동구 금호동1가 639,,,,
127.0242,37.54539,서울특별시 성동구 금호동4가 금호로,,,,
127.0423,37.54079,서울특별시 성동구 성수동1가 왕십리로,,,,
127.0436,37.54901,서울특별시 성동구 성수동1가 671-99,,,,
127.0553,37.53635,서울특별시 성동구 성수동2가 성수이로6길,,,,
127.0581,37.54557,서울특별시 성동구 성수동2가 아차산로9길,,,,
127.0643,37.55237,서울특별시 성동구 송정동 가람길,,,,
127.0575,37.55892,서울특별시 성동구 용답동 자동차시장길,,,,
127.0296,37.56685,서울특별시 성동구 하왕십리동 203,,,,
127.02,37.5514,서울특별시 성동구 금호동3가 금호산10길,,,,
127.0206,37.54085,서울특별시 성동구 옥수동 86,,,,
127.0734,37.54326,서울특별시 광진구 화양동 능동로,,,,
127.0737,37.55304,서울특별시 광진구 군자동 군자로,,,,
127.0777,37.5621,서울특별시 광진구 중곡동 긴고랑로6길,,,,
127.0846,37.55891,서울특별시 광진구 중곡동 275-11,,,,
127.082,37.56791,서울특별시 광진구 중곡동 동일로76길,,,,
127.0945,37.56387,서울특별시 광진구 중곡동 143-126,,,,
127.0818,37.55059,서울특별시 광진구 능동 능동로,,,,
127.086,37.5415,서울특별시 광진구 구의동 자양로26길,,,,
127.0949,37.5511,서울특별시 광진구 구의동 86-2,,,,
127.0942,37.53696,서울특별시 광진구 구의동 광나루로56길,,,,
127.1047,37.54782,서울특별시 광진구 광장동 광장로5길,,,,
127.0805,37.53559,서울특별시 광진구 자양동 아차산로46길,,,,
